# 生词
cuánto tiempo	好久
Mis hermanos estudian en el colegio.	我兄弟姐妹在中学读书。
Mi hermana menor está en la secundaria.	我妹妹在读中学。
Mi hermano mayor está en el bachillerato.	我哥在读高中。
¿Todavía en la escuela?	还在小学？
Sí, mi otro hermano está en la escuela.	是的，我另一个弟弟还在小学。

(夏令营)
Los cursos de verano son mañana.	夏令营是明天。
Cumplo años mañana.	我明天过生日。
¡Qué bien!	太好了！
¿Cumples años también?	你也过生日吗？
Sí, cumplo años.	是的，我过生日。
¿Cumples con todo?	你完成一切了吗？
Sí, cumplo con todo.	是的，我完成一切。
Los profesores enseñan bien el lenguaje español.	老师们教西班牙语教得很好。
También enseñan cosas de este país.	他们也教这个国家的事。
Yo puedo enseñar español.	我能教西班牙语。
¿Puedes hablar?	你能说吗？
Lleváis los libros al curso, ¿verdad?	你们带书去课程，对吧？
Otros estudiantes van al curso también.	其他学生也去课程。
Tienen que tener los libros.	他们必须带书。
Van a la facultad mañana.	他们明天去学院。

(吃饭)
Vamos a comer en la cocina.	我们去厨房吃。
Como queso.	我吃奶酪。
Yo también como queso.	我也吃奶酪。
Me cepillo los dientes después de comer.	我饭后刷牙。

(晚上)
Después de comer, Ana tiene que salir.	吃完后，Ana 必须走。
¡Qué día tan recargado!	多么抓马的一天啊！
Todo el tiempo estoy muy ocupado.	我所有时间都很忙。
Por la tarde tengo que estudiar.	下午我必须学习。
Tengo que llevar mis libros a la escuela.	我必须把书带去学校。
Luego no regresas a casa, ¿verdad?	然后你不回家，对吧？
No, yo no regreso.	不，我不回家。
Estoy en la residencia.	我在宿舍。
Todos los días tienes que estudiar mucho.	每天你必须努力学习。
Ana tiene que venir mañana a la residencia.	Ana 明天必须来宿舍。

(睡觉)
Ya es tarde.	已经晚了。
Tengo que bañarme.	我必须洗澡。
¿Te bañas en el cuarto de baño?	你在卫生间洗澡吗？
Tengo que acostarme.	我必须睡觉。
Me acuesto a las siete.	我七点睡觉。
¿Nos acostamos ya?	我们现在就睡吗？
Sí, nos acostamos.	是的，我们睡吧。
Mañana salgo de la residencia a las siete.	明天我七点离开宿舍。

# 语法点
ir a + 动词原形 —— 近期将来
"ir a + 动词原形"是西班牙语表示近期将来或即将发生之事的常用结构，相当于汉语的"将要/会……"或英语的 be going to。其中 ir 按人称变位，a 固定不变，后面的动词保持原形。本课中 Tú vas a estar contenta aquí.（你在这儿会开心的。）即为此结构，暗示何塞对未来情景的预期和安慰。
对应例句：22

副词 ya 的两个用法
ya 是西班牙语常用副词，主要有两种用法：(1) 表示"已经"，用于陈述已完成的事实，语气中性，常与陈述式现在时或完成时搭配，如 Ya es una hora.（已经一小时了。）、Ana ya viene.（Ana 已经来了。）；(2) 用于感叹句，表达"终于、总算"的如释重负感，强调经过等待或期盼后事情终于发生，语气强于中文的"已经"，如 ¡Ya estás aquí!（你终于来了！），此时 ya 不能直译为"已经"，否则会丢失期待已久的情绪。注意区分：¿Nos acostamos ya?（我们现在就睡吗？）中的 ya 表示"现在/立刻"，是第三种用法。
对应例句：3,5,17,18,121
