# 生词
paquete	包裹，包
Luego de pensar un rato, el médico se pone a escribir algo en un papel.	在思考了一会儿之后，医生开始在一张纸上写一些东西。
Mi casa queda lejos de la universidad.	我家离大学很远。
En una universidad tan grande, ¿dónde queda vuestra facultad?	在这么大的大学里，你们系在哪里？
Quedan veinticinco minutos para las seis.	到六点还差二十五分钟。
Luego de regalar tus juguetes, ¿cuántos te quedan todavía?	赠送完你的玩具后，你还剩下多少？
Mira, es lo que queda del almuerzo. ¿Te basta?	看，这是剩下的午餐。这对你来说够了吗？
No pienso ir a ningún lugar. Quiero quedarme en casa.	我哪儿也不去。我想呆在家里。
Entonces, quédate aquí y espera a Juan.	那么，你就呆在这儿等胡安。

# 语法点
dejar 的多重用法
dejar 是高频多义动词：A. 及物动词"放、搁、丢"（如 Dejen los paquetes en el pasillo）；B. "离开"（如 os dejo 我走了）；C. "允许、准许"（如 Déjenme pasar）；D. dejar de + inf. "停止做某事"（如 Deja de estudiar）。其中 dejar de + inf. 是重要固定搭配，区别于 dejar + inf.（允许做某事）。注意：sin dejar de + inf. 表示"一边……一边……、不停做……的同时"。
对应例句：1,3,5,7,8

hablar 的多种搭配
hablar 可作及物动词（说某种语言，如 Habla usted francés），也可作不及物动词。常见搭配：hablar en + 语言（用某种语言说话）、hablar con alguien de algo（与某人谈论某事）、hablar poco/mucho（说得少/多）。本课系统展示了 hablar 的多种用法和固定搭配。
对应例句：9,11,15,16

pensar 的多重含义
pensar 有多种含义和搭配：A. pensar + inf. "打算做"（如 Pienso viajar）；B. pensar + que 从句"认为"（如 Pienso que...）；C. pensar + 名词"思考"（如 Piénsalo bien）；D. pensar en "想念、思念"（如 Pienso en mis padres）。注意 pensar 是词干元音变化动词（e→ie）：pienso, piensas, piensa, pensamos, pensáis, piensan。
对应例句：17,18,19,23,24

poner 的多重用法
poner 本义为"放、摆"，但有丰富的引申义：A. poner la mesa "摆桌子（准备就餐）"；B. poner una nota "打分"；C. ponerse "穿、戴"（代词式）；D. ponerse a + inf. "开始做某事"。其中 ponerse a + inf. 是核心固定搭配，表示开始做一项费时费力的活动。
对应例句：25,27,29,31,33

quedar 与 quedarse 的区分
quedar（不及物）意为"位于"（如 Mi casa queda lejos）或"剩下"（如 Quedan veinticinco minutos）。quedarse（代词式）意为"留下、待在"（如 Quiero quedarme en casa）。二者在意义和用法上有明确分工：quedar 表示状态/位置/剩余，quedarse 表示自主决定留下。
对应例句：35,37,40,41

短语 a pesar de（尽管）
a pesar de + 名词/动词原形表示"尽管、虽然"，相当于 aunque，是表达让步的常用短语。本课中 a pesar de que 接从句，表达"尽管……"。
对应例句：30
